# https://payme.stoplight.io/docs/guides/u62g6pktpkr2t-israeli-mcc-list

Israeli MCC List
PAYME MCC CODE	DESCRIPTION IN HEBREW	DESCRIPTION IN ENGLISH
10437	סיטונאי-מוצרים עמידים	Wholesale-products resistant
10441	בתי קולנוע	Theaters
10442	סניטציה	Sanitation
10443	ספק תוכן אינטרנט	Internet content provider
10444	ספריות וידיאו	Video libraries
10445	דיסקים	Discs
10446	דמי חברות מועדון	Club Companion Fee
10447	עמותות ואגודות	Associations and associations
10448	עמותות חינוך	Education associations
10449	מפלגות, בחירות	Parties, elections
10369	עמותות לקהילה	Community associations
10451	עמותות דת	Religious associations
10452	עמותות מוסלמיות	Muslim associations
10453	עמותות נוצריות	Christian associations
10454	עמותות תרומות	Donations of donations
10455	פירות וירקות	Fruits and Vegetables
10456	מסחר קמעונאי בפירות וירקות	Retail trading in fruits and vegetables
10457	מסחר קמעונאי בפירות וירקות-חנויות שכונתיות עממיות	Retail trade in fruits and vegetables-mummous neighborhood stores
10458	מסחר קמעונאי בפירות וירקות-חנויות שכונתיות יוקרתיות	Retail trading in prestigious neighborhoods and vegetables
10459	מסחר קמעונאי בפירות וירקות-חנויות ברחובות ראשיים בערים	Retail trading in fruits and vegetables on main streets in cities
10460	בגדי עור	Leather clothes
10461	מסחר קמעוני בתיקים ומזוודות-חנויות סוג 1	Retail trading in bags and luggage-type 1
10462	מסחר קמעוני בתיקים ומזוודות-חנויות סוג 2	Retail trading in bags and luggage-type 2
10463	מסחר קמעוני בתיקים ומזוודות-חנויות סוג 3	Retail trading in bags and luggage-store type 3
10464	פרוות	Fur
10465	פרחים ועציצים	Flowers and flower pots
10466	מסחר קמעונאי בפרחים	Retail trading in flowers
10467	ציוד לתינוק	Baby equipment
10468	מכש.כתיבה	P.S. Writing
10469	מסחר קמעוני במכשירי כתיבה	Retail trading on writing devices
10470	מסחר קמעוני במכשירי כתיבה-חנויות מכשירי כתיבה וציוד משרדי שעיקר מכירותיהן לחברות ומוסדרות	Retail trading on writing devices-writing devices and office equipment whose main sales for companies and regulations
10471	מסחר קמעוני במכשירי כתיבה-חנויות למכשירי כתיבה וציוד משרדי שעיקר מכירותיהן ללקוחות פרטיים	Retail trading on writing-stores for writing devices and office equipment whose main sales are private customers
10472	מסחר קמעוני במכשירי כתיבה-חנויות למכשירי כתיבה (כולל מכשירי כתיבה בחנויות מעורבות)	Retail Trade on Writing Store Writing devices (including writing appliances in mixed stores)
10473	ציוד משרדי	Office Supplies
10474	מיכשור רפואי	Medical devices
10475	צמר וסריגה	Wool and knitting
10476	ציוד לגנים	Garden equipment
10477	צעצועים	Toys
10478	מסחר בצעצועים ומשחקים	Trade in toys and games
10479	מסחר בצעצועים ומשחקים-חנויות ברמה א'	Trade in toys and Games-stores at level 1
10480	מסחר בצעצועים ומשחקים-חנויות ברמה ב'	Trade in toys and Games-Stores B
10481	מסחר בצעצועים ומשחקים-חנויות ברמה ג'	Trade in toys and Games-Games Level C.
10482	חנויות נוחות ופיצוציות	Convenient and explosive shops
10483	קייטנה	Summer Camp
10484	קייטרינג	Catering
10485	קפה ותבלינים	Coffee and spices
10486	מסחר קמעונאי בתבלינים, קטניות, פיצוחים ופירות יבשים	Retail trading in spices, legumes, crackers and dried fruits
10487	מסחר קמעונאי בתבלינים, קטניות, פיצוחים ופירות יבשים-קניון	Retail trading in spices, legumes, crackers and dried fruits-malls
10488	מסחר קמעונאי בתבלינים, קטניות, פיצוחים ופירות יבשים-רחוב ראשי	Retail trading in spices, legumes, crackers and dried fruits-main street
10489	מסחר קמעונאי בתבלינים, קטניות, פיצוחים ופירות יבשים-שוק	Retail trade in spices, legumes, crackers and dried fruits-market
10490	רהיטים	furniture
10491	רהיטים-חנויות המוכרות מוצרים פשוטים	Furniture-stores selling simple products
10492	רהיטים-חנויות המוכרות מוצרים ברמה בינונית	Furniture-stores familiar with medium-level products
10493	רהיטים-חנויות המוכרות מוצרים ברמה גבוהה	Furniture-stores selling high-level products
10494	רהיטים-חנויות יוקרתיות (מחיר לפריט)	Luxury store furniture (item for item)
10495	חנויות ריהוט וציוד לתינוקות	Furniture and baby equipment
10496	חנויות ריהוט וציוד לתינוקות-חנויות קטנות עממיות	Furniture stores and equipment for small popular stores
10497	חנויות ריהוט וציוד לתינוקות-חנויות בינוניות	Furniture and Baby Equipment-Medium Stores
10498	חנויות ריהוט וציוד לתינוקות-חנויות גדולות	Furniture and Big Baby-store equipment
10499	חנויות ריהוט וציוד לתינוקות-חנויות רשת	Furniture stores and baby-store equipment
10500	ייבוא רהיטים	Import furniture
10501	ייבוא מטבחים	Import kitchens
10502	ייבוא מטבחים-מטבחים פשוטים	Import Kitchens-Simple kitchens
10503	ייבוא מטבחים-מטבחי יוקרה	Import kitchens-kitchens luxury
10504	רהיטים-ייצור רהיטים מעץ מלא	Furniture-Manufacture of solid wood furniture
10505	נגרות פלטות	Passover carpentry
10506	מהנדסים	engineers
10507	רו"ח	Breeze
10508	רכישת ניירות ערך	Purchase securities
10509	טיפולי בריאות לגוף	Health treatments to the body
10510	רפואה אלטרנטיבית	Alternative Medicine
10511	רשות השידור	IBA
10512	רשתות מזון ארציות	Nursing food chains
10513	תעשיית מזון קפוא מוכן	Frozen food industry ready
10514	פרקטים	Parquets
10515	קבלני ריצוף	Flooring contractors
10516	שטיחים	Rugs
10516	שטיחים	Rugs
10518	שיווק ישיר	direct marketing
10519	שירותי ייעוץ	consulting services
10520	שירותי מלאכה לבית	Home Craft Services
10521	שירותי רכב	Automotive Services
10522	מוסכי פחחות וצביעת רכב	Bins and Car Determination
10523	מוסכי פחחות וצביעת רכב-מוסך מורשה או מומחה	Tinted garages and a licensed vehicle-garage or expert
10524	מוסכי פחחות וצביעת רכב-מוסך כללי	Tin Garages and General Vehicle Determination
10521	שירותי רכב	Automotive Services
10526	מינהל ציבורי כללי	General public administration
10527	פיקוח על מתן שירותי בריאות, חינוך, תרבות ושירותים חברתיים אחרים, פרט ל	Supervision for providing health, education, culture and other social services, except
10528	מינהל ציבורי לנמ"א	Public Administration for the NMA
10529	ניהול ענייני החוץ	Foreign Affairs Management
10530	פעילויות צבא והגנה	Army and Protection Activities
10531	שמירה על הסדר הציבורי ועל ביטחון הציבור	Maintaining public order and public security
10532	שירותים ממשלתיים	Government Services
10533	שלטים	Signs
10534	שמאים	Appraisers
10535	שמאי ביטוח	Insurance Appraiser
10536	בתי חולים ממשלתים	Government Hospitals
10537	פסיכולוגים	Psychologists
10538	רופאים	Doctors
10539	שרותי אמבולנס	Ambulance services
10540	מכשירי כתיבה וציוד משרדי	Writing and Office Equipment
10541	תחנות דלק	gas stations
10542	תיווך	Mediation
10543	תיירות למרפא	Tourism to Medicine
10544	תכשיטים ושעונים	Jewelry and watches
10545	תכשיטים ושעונים-חנויות יוקרתיות מאוד	Very prestigious jewelry and watches
10546	תכשיטים ושעונים-חנויות יוקרתיות	Luxury jewelry and watches
10547	תכשיטים ושעונים-חנויות איכות טובה	Jewelry and watches-good quality stores
10548	תכשיטים ושעונים-חנויות בינוניות	Jewelry jewelry and watches
10549	תכשיטים ושעונים-חנויות קטנות	Jewelry jewelry and watches
10544	תכשיטים ושעונים	Jewelry and watches
10551	יוצקים בענף התכשיטים	Pour in the jewelry industry
10552	תמרוקיות	Cosmetics
10553	נופש ותיור	Vacation and tour
10554	סוכני נסיעות	Travel Agents
10555	כנסים	Conferences
10056	תערוכות	Exhibitions
10557	תקליטים	Records
10558	ציוד טלפוני	Telephone equipment
10559	תקשורת	communication
10560	טלויזיה בכבלים	Cable TV
10561	עיתונות	journalism
10562	תרומות	Donations
10563	אלומניום	Aluminum
10564	אלומניום-ייצור והתקנה	Aluminum-production and installation
10565	תריסים	Shutters
